Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,117,hr,6865,Nay
passage-suspension,117,hr,6891,Nay
passage-suspension,117,hr,3113,Yea
passage-suspension,117,hr,6873,Nay
passage-suspension,117,hr,4380,Nay
passage,117,hr,2116,Nay
passage-suspension,117,hr,5900,Yea
passage-suspension,117,hconres,45,Yea
passage-suspension,117,hr,7066,Nay
passage-suspension,117,hr,2324,Yea
passage,117,hr,6929,Nay
passage-suspension,117,s,4926,Nay
passage-suspension,117,hr,847,Nay
passage,117,hr,8297,Nay
passage-suspension,117,hr,5914,Nay
passage-suspension,117,s,5168,Nay
passage-suspension,117,hr,7180,Nay
passage-suspension,117,hr,55,Yea
passage-suspension,117,hr,7108,Nay
passage-suspension,117,hr,5274,Yea
passage-suspension,117,hr,7311,Nay
passage-suspension,117,hr,3344,Nay
passage-suspension,117,hr,521,Yea
passage-suspension,117,hr,5577,Yea
passage,117,hr,6833,Nay
passage-suspension,117,s,321,Yea
passage-suspension,117,hr,3588,Nay
passage-suspension,117,hr,5911,Nay
passage-suspension,117,hres,1130,Nay
passage-suspension,117,s,2333,Nay
passage-suspension,117,s,2834,Yea
passage-suspension,117,hr,8351,Yea
passage-suspension,117,hr,5324,Nay
passage-suspension,117,hr,735,Yea
passage-suspension,117,hres,892,Yea
passage-suspension,117,hr,1621,Yea
passage-suspension,117,hr,6386,Yea
passage,117,hr,7946,Nay
passage-suspension,117,hr,6434,Nay
passage,117,hr,7309,Nay
passage-suspension,117,hr,935,Yea
passage-suspension,117,hr,2116,Nay
passage,117,hr,6968,Nay
passage-suspension,117,s,2520,Nay
passage-suspension,117,,,Nay
passage-suspension,117,s,3294,Nay
passage-suspension,117,hr,7081,Nay
passage-suspension,117,hconres,59,Nay
passage,117,hr,8873,Nay
passage,117,hr,7790,Nay
passage,117,hr,1836,Nay
passage,117,hr,6833,Nay
passage-suspension,117,s,3369,Yea
passage-suspension,117,hr,7791,Nay
passage-suspension,117,hr,3630,Yea
passage-suspension,117,hr,8446,Nay
passage-suspension,117,s,2533,Yea
passage,117,hres,868,Nay
passage-suspension,117,hr,5441,Nay
passage,117,hr,6531,Nay
passage-suspension,117,hr,1456,Nay
passage-suspension,117,hr,6961,Nay
passage,117,hr,5118,Not Voting
passage-suspension,117,hr,6538,Nay
passage,117,hr,7910,Nay
passage,117,hres,1339,Nay
passage-suspension,117,hr,5315,Nay
passage,117,hres,1191,Nay
passage-suspension,117,s,2102,Yea
passage-suspension,117,hr,6064,Yea
passage,117,hres,1464,Nay
passage,117,hr,5746,Nay
passage,117,hres,1372,Nay
passage-suspension,117,s,2794,Yea
passage-suspension,117,hr,6052,Nay
passage-suspension,117,hr,2250,Yea
passage,117,s,1098,Nay
passage-suspension,117,s,4359,Yea
passage,117,hr,350,Nay
passage,117,hr,8987,Yea
passage,117,hr,2543,Nay
passage-suspension,117,hr,1066,Nay
passage,117,hr,7666,Nay
passage,117,hr,263,Not Voting
passage,117,hr,5585,Nay
passage,117,hres,1302,Nay
passage-suspension,117,s,4160,Yea
passage,117,hr,2988,Nay
passage-suspension,117,s,442,Nay
passage-suspension,117,hr,6493,Nay
passage-suspension,117,s,3157,Nay
passage-suspension,117,hr,7664,Nay
passage,117,hres,1300,Nay
passage-suspension,117,s,516,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hr,6270,Nay
passage-suspension,117,hr,6604,Yea
passage-suspension,117,s,2687,Nay
passage,117,hr,8542,Nay
passage-suspension,117,s,3115,Nay
passage-suspension,117,s,2551,Nay
passage,117,hr,7688,Nay
passage,117,hjres,100,Nay
passage-suspension,117,hr,2521,Nay
passage-suspension,117,s,3470,Yea
passage-suspension,117,hr,7211,Not Voting
passage-suspension,117,s,3580,Not Voting
passage-suspension,117,s,3895,Nay
passage-suspension,117,hr,7670,Nay
passage-suspension,117,hr,2020,Yea
passage,117,hr,2773,Nay
passage,117,hres,1170,Nay
passage-suspension,117,s,3823,Nay
passage-suspension,117,hr,8466,Nay
passage-suspension,117,,,Nay
passage,117,hconres,119,Nay
passage-suspension,117,s,958,Yea
passage-suspension,117,hr,6087,Yea
passage-suspension,117,hr,7375,Nay
passage,117,hr,4118,Nay
passage-suspension,117,s,231,Nay
passage,117,hr,5768,Nay
passage-suspension,117,hr,5754,Yea
passage-suspension,117,hr,7535,Yea
passage,117,hres,1017,Nay
passage-suspension,117,s,5230,Yea
passage,117,hres,1518,Nay
passage,117,hr,7691,Nay
passage-suspension,117,hr,7025,Nay
passage,117,hr,8294,Nay
passage-suspension,117,hr,91,Yea
passage-suspension,117,s,2126,Yea
passage-suspension,117,s,1617,Yea
passage,117,hres,1119,Nay
passage,117,hres,973,Nay
passage-suspension,117,s,4834,Yea
passage-suspension,117,hr,92,Yea
passage-suspension,117,hr,5706,Nay
passage-suspension,117,s,989,Nay
passage,117,hres,1033,Nay
passage-suspension,117,hr,7314,Nay
passage-suspension,117,s,5087,Nay
passage-suspension,117,s,566,Yea
passage,117,hres,1037,Nay
passage-suspension,117,hr,2501,Nay
passage,117,hr,6617,Nay
passage-suspension,117,hr,496,Nay
passage-suspension,117,hr,7693,Nay
passage-suspension,117,hr,207,Yea
passage-suspension,117,s,400,Nay
passage,117,hr,2471,Nay
passage,117,hr,8393,Nay
passage,117,hr,903,Nay
passage-suspension,117,s,1226,Nay
passage-suspension,117,hres,1512,Nay
passage-suspension,117,hr,4404,Yea
passage,117,hres,1097,Nay
passage-suspension,117,s,1466,Nay
passage,117,hres,1519,Nay
passage,117,hr,8373,Nay
passage,117,hres,1023,Nay
passage-suspension,117,hr,7372,Nay
passage,117,hr,3076,Nay
passage-suspension,117,hr,1218,Nay
passage,117,hres,912,Nay
passage-suspension,117,s,497,Nay
passage-suspension,117,s,4104,Nay
passage-suspension,117,s,1402,Nay
passage-suspension,117,hr,7276,Nay
passage,117,hr,4521,Nay
passage,117,hr,8,Nay
passage-suspension,117,,,Nay
passage-suspension,117,hr,485,Nay
passage,117,hr,1620,Nay
passage-suspension,117,hr,1443,Nay
passage-suspension,117,hr,3462,Yea
passage,117,hr,1319,Nay
passage,117,hr,3005,Nay
passage,117,hr,3233,Nay
passage-suspension,117,hr,4660,Yea
passage-suspension,117,hr,5720,Yea
passage-suspension,117,hr,1917,Nay
passage-suspension,117,hr,3193,Yea
passage-suspension,117,hr,1651,Nay
passage-suspension,117,hr,4111,Nay
passage-suspension,117,s,578,Nay
passage-suspension,117,hr,941,Nay
passage-suspension,117,hr,2617,Nay
passage,117,hres,380,Nay
passage,117,hconres,11,Nay
passage-suspension,117,hr,1154,Nay
passage,117,hres,409,Nay
passage-suspension,117,hr,1339,Nay
passage-suspension,117,hr,1652,Nay
passage-suspension,117,hr,4352,Nay
passage,117,hr,803,Nay
passage,117,hr,3992,Nay
passage,117,hres,503,Nay
passage-suspension,117,hr,4481,Nay
passage-suspension,117,hr,1085,Nay
passage,117,hres,479,Nay
passage-suspension,117,hr,1799,Nay
passage,117,hres,504,Nay
passage,117,hr,3684,Nay
passage-suspension,117,s,848,Nay
passage-suspension,117,hr,1392,Nay
passage,117,hres,85,Nay
passage,117,hr,335,Nay
passage,117,hr,7,Nay
passage,117,hres,101,Nay
passage-suspension,117,,,Nay
passage-suspension,117,s,164,Yea
passage-suspension,117,hr,2989,Nay
passage,117,hres,41,Not Voting
passage-suspension,117,hr,4489,Nay
passage-suspension,117,hr,5561,Nay
passage-suspension,117,hr,3531,Yea
passage-suspension,117,hr,5119,Nay
passage-suspension,117,hr,897,Nay
passage-suspension,117,hr,1667,Nay
passage-suspension,117,s,957,Yea
passage,117,hres,555,Nay
passage-suspension,117,,,Nay
passage,117,hres,849,Nay
passage-suspension,117,hr,2074,Nay
passage-suspension,117,hr,5551,Nay
passage-suspension,117,hr,4555,Nay
passage-suspension,117,hr,5487,Nay
passage-suspension,117,hr,4706,Yea
passage,117,hr,4502,Nay
passage-suspension,117,hr,5608,Nay
passage,117,hres,848,Nay
passage,117,hr,2668,Nay
passage,117,hres,1,Yea
passage-suspension,117,s,1910,Yea
passage,117,hres,508,Nay
passage-suspension,117,hr,826,Yea
passage-suspension,117,hr,5705,Yea
passage-suspension,117,s,1828,Yea
passage-suspension,117,s,189,Yea
passage-suspension,117,hr,5961,Yea
passage-suspension,117,hr,4300,Yea
passage-suspension,117,hr,4981,Nay
passage-suspension,117,hr,2497,Yea
passage,117,s,1605,Nay
passage,117,hr,3684,Nay
passage,117,hr,4346,Nay
passage-suspension,117,hr,4250,Nay
passage,117,s,610,Nay
passage,117,hres,838,Nay
passage-suspension,117,s,325,Yea
passage-suspension,117,hr,5982,Yea
passage-suspension,117,hr,1693,Nay
passage-suspension,117,hr,5695,Yea
passage,117,hres,667,Nay
passage,117,hres,330,Nay
passage-suspension,117,hr,1029,Yea
passage,117,hres,730,Nay
passage,117,hr,5305,Nay
passage-suspension,117,hr,1487,Yea
passage-suspension,117,hr,4369,Nay
passage-suspension,117,hr,1002,Yea
passage-suspension,117,hr,2379,Nay
passage-suspension,117,s,796,Nay
passage-suspension,117,hr,3730,Nay
passage,117,hres,179,Nay
passage-suspension,117,hr,4026,Nay
passage,117,hr,2547,Nay
passage-suspension,117,s,1095,Yea
passage-suspension,117,,,Nay
passage,117,sjres,13,Nay
passage-suspension,117,,,Nay
passage,117,hr,1603,Nay
passage-suspension,117,s,108,Yea
passage-suspension,117,hr,2685,Nay
passage-suspension,117,hr,1975,Nay
passage,117,s,475,Yea
passage,117,hr,239,Nay
passage,117,hr,1280,Nay
passage-suspension,117,hr,654,Nay
passage-suspension,117,hr,1899,Yea
passage-suspension,117,hr,1502,Nay
passage-suspension,117,hr,4028,Nay
passage-suspension,117,hr,4611,Yea
passage,117,s,1301,Nay
passage-suspension,117,hr,208,Yea
passage,117,hres,147,Nay
passage-suspension,117,hr,4089,Nay
passage-suspension,117,,,Nay
passage,117,hres,727,Nay
passage-suspension,117,hr,550,Nay
passage,117,sjres,14,Nay
passage-suspension,117,hr,5221,Nay
passage,117,hres,275,Nay
passage-suspension,117,hr,3616,Yea
passage,117,hres,486,Nay
passage,117,hr,1443,Nay
passage,117,hres,198,Nay
passage,117,hres,774,Nay
passage-suspension,117,hr,5574,Nay
passage,117,hres,403,Nay
passage-suspension,117,hr,4233,Yea
passage,117,hres,303,Not Voting
passage,117,hr,3110,Nay
passage,117,hres,38,Nay
passage,117,hres,21,Nay
passage,117,hr,2119,Nay
passage-suspension,117,hr,1215,Nay
passage-suspension,117,hr,1228,Nay
passage,117,hr,51,Nay
passage-suspension,117,s,1511,Yea
passage-suspension,117,hr,3599,Nay
passage,117,hres,72,Nay
passage-suspension,117,hr,4515,Yea
passage-suspension,117,hr,3325,Nay
passage,117,hr,2662,Nay
passage-suspension,117,hr,567,Nay
passage,117,hjres,17,Nay
passage-suspension,117,s,1064,Nay
passage,117,hr,1319,Nay
passage-suspension,117,,,Nay
passage,117,hres,829,Nay
passage,117,hr,1629,Nay
passage-suspension,117,hr,3709,Yea
passage-suspension,117,hr,4679,Nay
passage-suspension,117,hr,4055,Nay
passage,117,hres,166,Nay
passage-suspension,117,hr,5763,Nay
passage,117,hres,688,Nay
passage-suspension,117,hr,1629,Nay
passage-suspension,117,hr,4686,Nay
passage,117,hres,91,Nay
passage-suspension,117,hr,1204,Nay
passage-suspension,117,hr,1460,Nay
passage-suspension,117,s,1502,Yea
passage-suspension,117,hr,4045,Nay
passage,117,hr,3237,Nay
passage-suspension,117,hr,390,Yea
passage,117,hres,233,Nay
passage,117,hr,1187,Nay
passage-suspension,117,hr,2220,Yea
passage-suspension,117,hres,760,Yea
passage,117,hr,1446,Nay
passage,117,hres,473,Nay
passage,117,hr,842,Nay
passage-suspension,117,hr,239,Nay
passage-suspension,117,hr,4531,Nay
passage,117,hr,6119,Nay
passage,117,sjres,33,Nay
passage-suspension,117,hr,1664,Yea
passage,117,hr,3985,Nay
passage,117,hres,8,Nay
passage,117,hres,535,Nay
passage,117,hres,851,Nay
passage,117,hr,5314,Nay
passage-suspension,117,hres,317,Yea
passage-suspension,117,hres,837,Yea
passage-suspension,117,hr,3894,Nay
passage-suspension,117,hr,2355,Nay
passage,117,hr,2467,Nay
passage-suspension,117,hr,22,Yea
passage,117,hres,852,Nay
passage,117,hr,5665,Nay
passage-suspension,117,hr,2365,Yea
passage-suspension,117,hr,5323,Yea
passage-suspension,117,hr,2364,Nay
passage-suspension,117,hr,3743,Nay
passage-suspension,117,hr,1155,Yea
passage-suspension,117,hr,3537,Yea
passage,117,hr,4373,Nay
passage-suspension,117,hr,5290,Nay
passage,117,hr,3755,Nay
passage-suspension,117,hr,5293,Yea
passage-suspension,117,hr,5677,Yea
passage-suspension,117,hr,3237,Yea
passage-suspension,117,hr,4996,Nay
passage-suspension,117,hr,2930,Nay
passage-suspension,117,s,272,Yea
passage-suspension,117,hr,2278,Yea
passage-suspension,117,hr,4616,Yea
passage,117,hres,601,Nay
passage,117,hr,4350,Not Voting
passage-suspension,117,hr,5679,Yea
passage,117,hr,5305,Nay
passage-suspension,117,hr,5609,Nay
passage,117,hr,4,Nay
passage,117,hres,567,Nay
passage-suspension,117,hr,172,Nay
passage-suspension,117,hr,2877,Nay
passage-suspension,117,hr,3469,Yea
passage-suspension,117,s,937,Nay
passage,117,hres,803,Nay
passage-suspension,117,hr,1374,Nay
passage-suspension,117,hres,134,Nay
passage-suspension,117,hr,2758,Nay
passage-suspension,117,hr,3593,Nay
passage,117,hres,789,Nay
passage,117,hr,2062,Nay
passage,117,hres,188,Nay
passage-suspension,117,hr,4881,Nay
passage-suspension,117,hr,983,Yea
passage-suspension,117,hr,1996,Nay
passage-suspension,117,hr,3533,Yea
passage,117,hres,716,Nay
passage,117,hr,1333,Nay
passage-suspension,117,hr,1192,Yea
passage,117,hr,1195,Nay
passage-suspension,117,hr,3919,Yea
passage-suspension,117,hr,1762,Yea
passage-suspension,117,hr,1490,Nay
passage-suspension,117,hr,4032,Nay
passage,117,hr,5,Nay
passage,117,hr,1573,Nay
passage,117,hres,795,Nay
passage,117,hr,6,Nay
passage-suspension,117,hr,2088,Nay
passage,117,sjres,15,Nay
passage-suspension,117,hr,2225,Nay
passage,117,hr,1,Nay
passage-suspension,117,hr,1619,Nay
passage,117,hr,256,Yea
passage,117,hr,1868,Nay
passage-suspension,117,hr,4256,Nay
passage-suspension,117,hr,147,Yea
passage-suspension,117,hr,2911,Yea
passage-suspension,117,hr,1868,Not Voting
passage-suspension,117,hr,391,Nay
passage,117,hr,1065,Nay
passage,117,hr,5376,Nay
passage-suspension,117,hr,4067,Nay
passage-suspension,117,hr,446,Nay
passage-suspension,117,hr,3635,Nay
passage-suspension,117,hr,546,Yea
passage-suspension,117,hr,1482,Yea
passage-suspension,117,hr,5434,Nay
