Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,118,hr,897,Yea
passage-suspension,118,hr,3033,Yea
passage,118,hr,5585,Yea
passage,118,hres,1344,Yea
passage,118,hres,1065,Yea
passage-suspension,118,hr,1767,Yea
passage-suspension,118,hr,4143,Yea
passage,118,hjres,165,Yea
passage-suspension,118,hr,3202,Yea
passage-suspension,118,hr,3738,Yea
passage-suspension,118,hr,4877,Yea
passage-suspension,118,hres,883,Yea
passage-suspension,118,hres,288,Yea
passage-suspension,118,hr,6655,Yea
passage-suspension,118,hr,5441,Yea
passage-suspension,118,hr,2872,Nay
passage-suspension,118,hr,5862,Yea
passage-suspension,118,hres,1102,Yea
passage-suspension,118,hr,4824,Yea
passage-suspension,118,hr,1752,Yea
passage,118,hr,8035,Nay
passage-suspension,118,hr,5856,Yea
veto-override,118,hjres,109,Yea
passage,118,hr,615,Yea
passage,118,hr,7109,Yea
passage-suspension,118,hr,6093,Yea
passage-suspension,118,s,870,Yea
passage-suspension,118,hr,4016,Yea
passage,118,hr,8772,Yea
passage-suspension,118,hr,3019,Yea
passage,118,hres,1213,Yea
passage,118,sjres,38,Yea
passage-suspension,118,hr,6571,Yea
passage,118,hr,8282,Yea
passage-suspension,118,hres,901,Not Voting
passage,118,hr,8369,Yea
passage-suspension,118,hr,839,Yea
passage-suspension,118,hr,6572,Yea
passage-suspension,118,hr,5863,Yea
passage,118,hr,788,Yea
passage-suspension,118,hr,7152,Not Voting
passage,118,hr,7581,Yea
passage,118,hr,7343,Yea
passage,118,hres,1292,Yea
passage-suspension,118,hr,6983,Yea
passage-suspension,118,hres,1215,Yea
passage-suspension,118,hr,4510,Yea
passage,118,hres,1210,Yea
passage,118,hjres,109,Yea
passage,118,hr,7176,Yea
passage,118,hres,1160,Yea
passage,118,hr,8038,Yea
passage-suspension,118,hr,6544,Yea
passage,118,hconres,86,Yea
passage,118,hr,7637,Yea
passage-suspension,118,hr,8289,Yea
passage-suspension,118,hres,1061,Yea
passage-suspension,118,hr,7024,Yea
passage-suspension,118,hr,6015,Yea
passage-suspension,118,hr,2560,Yea
passage-suspension,118,hr,4681,Yea
passage-suspension,118,hr,7520,Yea
passage-suspension,118,hr,3821,Yea
passage-suspension,118,hr,7423,Yea
passage,118,hr,6090,Yea
passage,118,hres,987,Yea
passage-suspension,118,hr,5375,Yea
passage-suspension,118,hr,1836,Yea
passage-suspension,118,hr,3602,Yea
passage-suspension,118,hr,533,Yea
passage-suspension,118,hr,5917,Yea
passage-suspension,118,hr,7217,Yea
passage-suspension,118,s,382,Nay
passage-suspension,118,hr,1727,Yea
passage-suspension,118,hr,6245,Yea
passage-suspension,118,hr,6408,Yea
passage,118,hr,6976,Yea
passage,118,hjres,88,Yea
passage,118,hr,4468,Yea
passage-suspension,118,hres,888,Yea
passage-suspension,118,hres,894,Yea
passage,118,sjres,32,Yea
passage,118,hres,878,Yea
passage-suspension,118,hr,542,Yea
passage-suspension,118,hres,927,Yea
passage,118,hr,1147,Yea
passage-suspension,118,hr,5378,Yea
passage,118,hres,914,Yea
passage,118,hr,5933,Yea
passage-suspension,118,hr,3224,Yea
passage-suspension,118,hr,6503,Yea
passage,118,hr,5961,Yea
passage-suspension,118,hr,1547,Yea
passage-suspension,118,hr,3848,Yea
passage-suspension,118,hr,5524,Yea
passage-suspension,118,hr,5119,Yea
passage-suspension,118,hr,2670,Yea
passage-suspension,118,hr,2365,Yea
passage-suspension,118,s,788,Yea
passage-suspension,118,hr,4531,Yea
